Task ID,Task Name,Description,List (Sprint),Milestone,Status,Priority,Start Date,Due Date,Duration (days),Depends On,External Blocker,Assignee
S0,Fondasi Backend & Sprint 0,"Monorepo, Docker, skema Prisma 13 tabel, migrasi init, seed, config/env, envelope respons, exception filter, ClassSerializer, Swagger",S0 - Fondasi,M0 - Fondasi,Complete,High,2026-07-20,2026-07-22,3,,,Backend
BE-5,Harness Test Jest,Setup unit test + e2e harness (prasyarat laporan test),S0 - Fondasi,M0 - Fondasi,Complete,High,2026-07-20,2026-07-20,1,S0,,Backend
BE-1-2-3,Pola Common (pagination + entity + data-isolation),"Pagination page/limit, serialisasi BaseEntity, util assertOpdAccess data-isolation OPD",S0 - Fondasi,M0 - Fondasi,Complete,High,2026-07-21,2026-07-21,1,S0,,Backend
BE-8,GET /ref/unsur,Endpoint 9 unsur baku SKM (template PermenPANRB 14/2017),S0 - Fondasi,M0 - Fondasi,Complete,Normal,2026-07-21,2026-07-21,1,BE-1-2-3,,Backend
BE-7,GitLab CI,Pipeline .gitlab-ci.yml (lint/build/test),S0 - Fondasi,M0 - Fondasi,Complete,Normal,2026-07-21,2026-07-21,1,S0,,Backend
AUTH-SEAM,Seam Auth + RolesGuard,"StubAuthProvider, RolesGuard global, dekorator Roles/Public/CurrentUser",S0 - Fondasi,M0 - Fondasi,Complete,High,2026-07-20,2026-07-22,2,S0,,Backend
OPD-1-2,OPD read-only (GET list + detail) + seam OpdSource,"GET /opd, GET /opd/:id, interface OpdSource + StubOpdSource",S0 - Fondasi,M0 - Fondasi,Complete,High,2026-07-22,2026-07-22,1,AUTH-SEAM,,Backend
OPD-3,POST /opd/sync,"Upsert OPD dari OpdSource by external_id, set synced_at, nonaktifkan (bukan hapus) yang berrelasi",S1 - Master Data,M1 - Master Data,To Do,High,2026-07-23,2026-07-24,2,OPD-1-2,,Backend
REF-2,GET /ref/complaint-categories,Daftar kategori pengaduan (referensi),S1 - Master Data,M1 - Master Data,To Do,Normal,2026-07-27,2026-07-27,1,AUTH-SEAM,,Backend
USR-1,Modul Users (provisioning admin),"GET /users, POST /users, GET /users/:id, PATCH /users/:id, PATCH /users/:id/status. Buat/nonaktif akun Admin OPD, mapping role+OPD",S1 - Master Data,M1 - Master Data,To Do,High,2026-07-28,2026-07-30,3,AUTH-SEAM,,Backend
