Task ID,Task Name,Role,Description,List (Sprint),Milestone,Status,Priority,Start Date,Due Date,Duration (days),Depends On,External Blocker,Assignee
S0,Fondasi Backend & Sprint 0,Backend,"Monorepo, Docker, skema Prisma 13 tabel, migrasi init, seed, config/env, envelope, exception filter, Swagger",S0 - Fondasi,M0 - Fondasi,Complete,High,2026-07-20,2026-07-22,3,,,Backend
BE-SEAM,Seam Auth + RolesGuard + OPD read-only,Backend,"StubAuthProvider, RolesGuard global, dekorator, GET /opd, GET /ref/unsur, pola common",S0 - Fondasi,M0 - Fondasi,Complete,High,2026-07-20,2026-07-22,3,S0,,Backend
OPD-3,POST /opd/sync,Backend,Upsert OPD dari OpdSource by external_id + synced_at + nonaktifkan (bukan hapus) yang berrelasi,S1 - Master Data,M1 - Master Data,To Do,High,2026-07-23,2026-07-24,2,BE-SEAM,,Backend
REF-2,GET /ref/complaint-categories,Backend,Daftar kategori pengaduan (referensi),S1 - Master Data,M1 - Master Data,To Do,Normal,2026-07-27,2026-07-27,1,BE-SEAM,,Backend
USR-1,Modul Users (provisioning admin),Backend,"GET/POST/GET :id/PATCH/PATCH status. Buat/nonaktif akun Admin OPD, mapping role+OPD",S1 - Master Data,M1 - Master Data,To Do,High,2026-07-28,2026-07-30,3,BE-SEAM,,Backend
SVY-1,Surveys CRUD + lifecycle,Backend,"POST/GET list (filter peran)/GET :id/PATCH/DELETE draft/PATCH status (draft-aktif-ditutup), data-isolation OPD",S2 - Survei,M2 - Survei,To Do,High,2026-08-06,2026-08-11,4,USR-1,,Backend
QST-1,Questions CRUD + reorder,Backend,"GET/POST questions, PATCH/DELETE :id, PATCH reorder. Tipe skala + teks (MVP)",S2 - Survei,M2 - Survei,To Do,High,2026-08-12,2026-08-14,3,SVY-1,,Backend
QST-2,Terapkan template 9 unsur,Backend,POST /surveys/:id/questions/template - generate 9 pertanyaan unsur baku IKM,S2 - Survei,M2 - Survei,To Do,High,2026-08-17,2026-08-18,2,QST-1,,Backend
SVY-2,Duplicate survei,Backend,POST /surveys/:id/duplicate - salin paket survei + pertanyaan,S2 - Survei,M2 - Survei,To Do,Normal,2026-08-19,2026-08-20,2,QST-1,,Backend
FILL-1,Survei aktif + ambil kuesioner,Backend,"GET /surveys/active, GET /surveys/:id/fill",S3 - Pengisian,M3 - Pengisian,To Do,High,2026-08-21,2026-08-24,2,QST-2,,Backend
RESP-1,Submit jawaban survei,Backend,"POST /surveys/:id/responses, persist answers, anti-duplikat unique index to 409",S3 - Pengisian,M3 - Pengisian,To Do,High,2026-08-25,2026-08-27,3,FILL-1,,Backend
RESP-2,List respons masuk,Backend,GET /surveys/:id/responses untuk Admin OPD,S3 - Pengisian,M3 - Pengisian,To Do,Normal,2026-08-28,2026-08-28,1,RESP-1,,Backend
IKM-1,IkmService (rumus tunggal),Backend,"NRR per unsur, bobot 1/9, IKM x25, mutu A/B/C/D (PermenPANRB 14/2017)",S4 - IKM,M4 - IKM (MVP),To Do,Urgent,2026-08-31,2026-09-02,3,RESP-1,,Backend
